성분명,위험도,지성,건성,민감성
메톡시피이지-114/폴리엡실론카프롤락톤,0,0,0,0
메티콘,-1,0,0,0
메틸글루코오스세스퀴스테아레이트,-1,0,0,0
메틸렌비스-벤조트리아졸릴테트라메틸부틸페놀,0,0,0,0
메틸메타크릴레이트크로스폴리머,-1,0,0,0
메틸트라이메티콘,-1,0,0,0
메틸파라벤,-4,0,0,0
메틸프로판다이올,-1,0,0,0
멕시칸주니퍼오일,-1,0,0,0
멜론추출물,-1,0,0,0
명일엽추출물,-1,0,0,0
모란뿌리추출물,-1,0,0,0
몬모릴로나이트,-1,0,0,0
몰로키아잎추출물,0,0,0,0
무궁화나무껍질추출물,-1,0,0,0
무화과추출물,-1,0,0,0
미네랄워터,-1,0,0,0
미리스틱애씨드,-1,-5,0,0
미역추출물,-1,0,0,0
밀배아오일불검화물,-1,0,0,0
바다포도추출물,0,0,0,0
바실꽃/잎추출물,0,0,0,0
바오밥나무씨오일,-1,0,0,0
바위돌꽃뿌리추출물,0,0,0,0
바이오사카라이드검-1,-1,0,0,0
바이오사카라이드검-4,0,0,0,0
바질오일,-1,0,0,-5
바코파몬니에라추출물,-1,0,0,0
밤부사불가리스수액추출물,-1,0,0,0
백년초열매추출물,-1,0,0,0
백출오일,0,0,0,0
버지니아풍년화수,-1,5,0,0
버지니아풍년화잎추출물,-1,0,0,0
버지니아풍년화추출물,-1,5,0,0
베르가모트오일,-2,0,0,0
베타-글루칸,-1,0,0,0
베타-시토스테롤,-1,0,0,0
베타인,-1,0,0,0
베타-카로틴,-2,0,5,0
베헤닐알코올,-1,0,0,0
벤조페논-3,-8,-5,0,-5
벤조페논-4,-3,0,0,0
벤질벤조에이트,-6,0,0,0
벤질살리실레이트,-7,0,0,0
벤질알코올,-5,0,0,0
변성알코올,-4,0,0,0
별꽃추출물,-1,0,0,0
병풀잎수,0,0,0,0
병풀추출물,-1,0,0,0
보검선인장씨오일,0,0,0,0
보리수잎추출물,0,0,0,0
복사나무꽃추출물,-1,0,0,0
복사나무잎추출물,-1,0,0,0
복숭아즙,0,0,5,0
복숭아추출물,-1,0,5,0
부틸렌글라이콜,-1,0,5,0
부틸렌글라이콜다이카프릴레이트,-1,0,0,0
부틸메톡시디벤조일메탄,-2,0,0,0
부틸옥틸살리실레이트,-1,0,0,0
부틸파라벤,-7,0,0,0
부틸페닐메틸프로피오날,-7,0,0,0
분비나무오일,-3,0,0,0
분홍바늘꽃/잎/줄기추출물,0,0,0,0
브델리아분열조직세포배양물,0,0,0,0
브델리아추출물,0,0,0,0
브이피/에이코센코폴리머,-1,0,0,0
브이피/헥사데센코폴리머,-1,0,0,0
비누풀잎/뿌리추출물,0,0,0,0
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,0,0,0,0
비스-에칠헥실옥시페놀메톡시페닐트리아진,0,0,0,0
비에이치티,-4,0,0,0
비즈왁스,-1,0,0,0
비타민나무열매추출물,-1,0,0,0
비피다발효용해물,-1,0,0,0
빌베리열매추출물,-1,0,0,0
빙하수,0,0,0,0
뽕나무뿌리추출물,-1,0,0,0
사과나무꽃추출물,-1,0,0,0
사과수,-1,0,0,0
사과추출물,-1,0,0,0
사이클로메티콘,-2,0,0,0
사이클로펜타실록세인,-3,0,0,0
사이클로헥사실록세인,-2,0,0,0
사카라이드아이소머레이트,-1,0,0,0
사카라이드하이드롤리세이트,-1,0,0,0
사코신,-1,0,0,0
사탕수수추출물,-1,0,0,0
산소,-1,0,0,0
산수유열매추출물,-1,0,0,0
살구씨오일,-1,0,0,0
살리실릭애씨드,-4,5,0,-5
살비아잎추출물,-1,0,0,0
상엽추출물,-1,0,0,0
생강추출물,-1,0,0,0
생열귀나무싹추출물,0,0,0,0
서양개보리뺑이꽃,0,0,0,0
서양고추나물추출물,-1,0,0,0
서양산딸기추출물,-1,0,0,0
서양송악잎,-1,0,0,0
서양송악추출물,-1,0,0,0
서양톱풀추출물,-3,0,0,0
석류나무꽃추출물,0,0,0,0
석류나무추출물,-1,0,0,0
석류추출물,0,0,0,0
선백리향꽃,0,0,0,0
선백리향잎수,0,0,0,0
선백리향추출물,-1,0,0,0
선인장줄기추출물,-1,0,0,0
선인장추출물,0,0,0,0
설탕단풍추출물,-1,0,0,0
세라마이드에이피,-1,0,0,0
세라마이드엔에스,0,0,0,0
세라마이드엔피,-1,0,0,0
세라마이드이오피,0,0,0,0
