성분명,위험도,지성,건성,민감성
마그네슘아스코빌포스페이트,-1,0,0,0
마그네슘알루미늄실리케이트,-1,0,0,0
마그네슘클로라이드,-1,0,0,0
마그네슘팔미토일글루타메이트,-1,0,0,0
마그네슘하이드록사이드,-1,0,0,0
마데카식애씨드,-1,0,0,0
마돈나백합잎세포추출물,0,0,0,0
마시멜로뿌리추출물,-1,0,0,0
마이카,-2,0,0,0
마이크로크리스탈린왁스,-1,0,0,0
마조람잎추출물,-1,0,0,0
마치현추출물,-1,0,0,0
마카다미아씨오일,-1,0,0,0
만니톨,-1,0,0,0
말토덱스트린,-1,0,0,0
말티톨,-1,0,0,0
망고씨드버터,-1,0,0,0
매도우스위트추출물,-1,0,0,0
매스틱검,-1,0,0,0
메티콘,-1,0,0,0
메틸다이하이드로자스모네이트,0,0,0,0
메틸메타크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,-1,0,0,0
메틸메타크릴레이트크로스폴리머,-1,0,0,0
메틸사이클로덱스트린,-1,0,0,0
메틸실란올/실리케이트크로스폴리머,-1,0,0,0
메틸트라이메티콘,-1,0,0,0
메틸파라벤,-4,0,0,0
메틸프로판다이올,-1,0,0,0
메틸하이드로제네이티드로지네이트,-2,0,0,0
멘톡시프로판다이올,-1,0,0,0
멘틸피씨에이,-1,0,0,0
목화씨추출물,0,0,0,0
몰약추출물,-1,0,0,0
무수자일리톨,-1,0,0,0
미네랄솔트,-1,0,0,0
미네랄오일,-3,0,0,0
미네랄워터,-1,0,0,0
미로탐누스플라벨리폴리아잎/줄기추출물,0,0,0,0
미리스토일/팔미토일옥소스테아라마이드/아라카마이드엠이에이,-1,0,0,0
미리스틱애씨드,-1,-5,0,0
미역추출물,-1,0,0,0
밀배아글리세라이드,-1,0,0,0
바다포도추출물,0,0,0,0
바륨설페이트,-2,0,0,0
바바수씨오일,-1,0,0,0
바베리추출물,-1,0,0,0
바실꽃/잎추출물,0,0,0,0
바오밥나무씨오일,-1,0,0,0
바오밥나무잎추출물,0,0,0,0
바이오사카라이드검-1,-1,0,0,0
바이오사카라이드검-4,0,0,0,0
바이오틴,-1,0,0,0
바틸알코올,-1,0,0,0
발린,-1,0,0,0
방사무늬돌김추출물,-1,0,0,0
백금가루,-1,0,0,0
백합꽃/잎/줄기추출물,0,0,0,0
범꼬리뿌리추출물,0,0,0,0
벚꽃추출물,-1,0,0,0
베르가모트열매오일,-2,0,0,0
베르가못잎추출물,0,0,0,0
베타-글루칸,-1,0,0,0
베타-카로틴,-2,0,5,0
베타인,-1,0,0,0
베헤닉애씨드,-1,0,0,0
베헤닐알코올,-1,0,0,0
벤조익애씨드,-3,0,0,0
벤조페논-3,-8,-5,0,-5
벤질벤조에이트,-6,0,0,0
벤질살리실레이트,-7,0,0,0
벤질알코올,-5,0,0,0
벤토나이트,-2,0,0,0
변성알코올,-4,0,0,0
병풀추출물,-1,0,0,0
보론나이트라이드,-1,0,0,0
복사나무꽃추출물,-1,0,0,0
부처브룸뿌리추출물,-1,0,0,0
부틸렌글라이콜,-1,0,5,0
부틸렌글라이콜다이카프릴레이트/다이카프레이트,-1,0,0,0
부틸아크릴레이트/글라이콜다이메타크릴레이트크로스폴리머,0,0,0,0
부틸옥틸살리실레이트,-1,0,0,0
부틸파라벤,-7,0,0,0
부틸페닐메틸프로피오날,-7,0,0,0
브이피/브이에이코폴리머,-1,0,0,0
