성분명,위험도,지성,건성,민감성
살구추출물,-1,0,0,0
상백피추출물,-1,0,5,0
생강추출물,-1,0,0,0
서양유채꽃추출물,0,0,0,0
서양자두씨오일,-1,0,0,0
서양장미꽃수,-1,0,0,0
석류추출물,0,0,0,0
석영,-6,0,0,0
세라마이드엔지,-1,0,0,0
세라마이드엔피,-1,0,0,0
세레신,-1,0,0,0
세테아레스-20,-3,0,0,0
세테아릴글루코사이드,-1,0,0,0
세테아릴알코올,-1,0,0,0
세틸알코올,-1,0,0,0
세틸피이지/피피지-10/1다이메티콘,-3,0,0,0
셀룰로오스,-1,0,0,0
소듐라우로일글루타메이트,-1,0,0,0
소듐라우릴설페이트,-2,0,0,0
소듐벤조에이트,-3,0,0,0
소듐사카린,-1,0,0,0
소듐스테아레이트,-1,0,0,0
소듐스테아로일글루타메이트,-1,0,0,0
소듐시트레이트,-1,0,0,0
소듐아세테이트,-1,0,0,0
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,-1,0,0,0
소듐클로라이드,-1,0,0,0
소듐폴리아크릴레이트,-3,0,0,0
소듐하이알루로네이트,-1,0,5,0
소르비톨,-1,0,0,0
소르빅애씨드,-3,0,0,0
솔비탄세스퀴올리에이트,-1,0,0,0
솔비탄스테아레이트,-1,0,0,0
솔비탄아이소스테아레이트,-1,0,0,0
솔비탄올리베이트,-1,0,0,0
솔비탄올리에이트,-1,0,0,0
수레국화꽃수,-1,0,0,0
수박추출물,-1,0,0,0
수용성콜라겐,-1,0,0,0
수크랄로오스,-1,0,0,0
수크로오스코코에이트,-1,0,0,0
수크로오스테트라스테아레이트트라이아세테이트,-1,0,0,0
쉐어버터,-1,-5,0,0
슈크로오스폴리스테아레이트,-1,0,0,0
스위트아몬드오일,-1,0,0,0
스쿠알란,-1,0,0,0
스테비오사이드,-1,0,0,0
스테아레스-100,-3,0,0,0
스테아레스-2,-3,0,0,0
스테아레스-20,-3,0,0,0
스테아레스-21,-3,0,0,0
스테아릭애씨드,-1,-5,0,0
스테아릴다이메티콘,-1,0,0,0
스테아릴알코올,-1,0,0,0
시메티콘,-1,0,0,0
시트랄,-7,0,0,0
시트로넬올,-5,0,0,0
시트릭애씨드,-2,0,0,-5
신나밀알코올,-7,0,0,0
실리카,-2,0,0,0
실리카다이메티콘실릴레이트,-1,0,0,0
실리카다이메틸실릴레이트,-1,0,0,0
실리카실릴레이트,-1,0,0,0
아니스알코올,-5,0,0,0
아라비아고무나무꽃/줄기추출물,0,0,0,0
아라키딜글루코사이드,-1,0,0,0
아라키딜알코올,-1,0,0,0
아르간트리커넬오일,-1,0,0,0
아마인추출물,-1,0,0,0
아밀신나몰,-7,0,0,0
아보카도버터,-1,0,0,0
아보카도오일,-1,0,5,0
아세로라추출물,-1,0,0,0
아스코빅애씨드,-1,0,5,0
아이런옥사이드,-2,0,0,0
아이소노닐아이소노나노에이트,-1,0,0,0
아이소도데케인,-1,0,0,0
아이소세테스-10,-3,0,0,0
아이소세테스-20,-3,0,0,0
아이소세테스-25,0,0,0,0
아이소스테아릭애씨드,-1,0,0,0
아이소스테아릴아이소스테아레이트,-1,0,0,0
아이소유제놀,-7,0,0,0
아이소트라이데실아이소노나노에이트,-1,0,0,0
아이소프로필팔미테이트,-1,0,0,0
아이소헥사데칸,-1,0,0,0
아크릴레이트/다이메티콘코폴리머,-1,0,0,0
아크릴레이트/스테아릴아크릴레이트/다이메티콘메타크릴레이트코폴리머,-1,0,0,0
아크릴레이트/폴리트라이메틸실록시메타크릴레이트코폴리머,0,0,0,0
아크릴레이트코폴리머,-2,0,0,0
아크릴릭애씨드/아이소부틸아크릴레이트/아이소보닐아크릴레이트코폴리머,-1,0,0,0
안젤리카추출물,0,0,0,0
알란토인,-1,5,0,5
알로에베라잎추출물,-3,0,0,5
알루미나,-2,0,0,0
알루미늄하이드록사이드,-1,0,0,0
알코올,-2,0,-5,-5
알파-아이소메틸아이오논,-5,0,0,0
암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,-1,0,0,0
암모늄폴리아크릴레이트,-2,0,0,0
약모밀추출물,-1,0,0,0
에델바이스추출물,-1,0,0,0
에틸렌/프로필렌/스타이렌코폴리머,-1,0,0,0
에틸셀룰로오스,-1,0,0,0
에틸헥실글리세린,-1,0,0,0
에틸헥실메톡시신나메이트,-6,0,0,0
에틸헥실스테아레이트,-1,0,0,0
에틸헥실아이소노나노에이트,-1,0,0,0
에틸헥실팔미테이트,-1,0,0,0
엔젤스티어추출물,0,0,0,0
연교추출물,-1,0,0,0
연꽃수,-1,0,0,0
연꽃추출물,-1,0,0,0
오디추출물,0,0,0,0
오렌지껍질오일,-2,0,0,0
오렌지추출물,-1,0,0,-5
오미자추출물,-1,0,0,0
오일팜오일,-1,0,0,0
오조케라이트,-1,0,0,0
오크라열매추출물,-1,0,0,0
옥타데센,-1,0,0,0
옥탄다이올,-1,0,0,0
옥토크릴렌,-3,0,0,0
