번호,제품명,브랜드명,성분구성
11,잉크래스팅 파운데이션 슬림핏 SPF30 PA++,더페이스샵,"정제수,사이클로펜타실록세인,티타늄디옥사이드,메틸트라이메티콘,에틸헥실팔미테이트,변성알코올,트라이메틸실록시실리케이트,피이지-10다이메티콘,에틸헥실메톡시신나메이트,바이오사카라이드검-1,탤크,부틸렌글라이콜,사이클로헥사실록세인,다이스테아다이모늄헥토라이트,세틸피이지/피피지-10/1다이메티콘,하이드록시프롤린,마그네슘설페이트,12헥산다이올,바이오사카라이드검-1,알루미늄하이드록사이드,스테아릭애씨드,팔미토일프롤린,다이스테아릴다이모늄클로라이드,다이메티콘,토코페릴아세테이트,소듐팔미토일사코시네이트,마그네슘팔미토일글루타메이트,팔미틱애씨드,합성플루오르플로고파이트,트라이에톡시카프릴릴실레인,실리카,마이카,틴옥사이드,에틸헥실글리세린,향료,적색산화철,황색산화철,흑색산화철"
12,빠뤼르 골드 래디언스 파운데이션 SPF30 PA+++,겔랑,"정제수,사이클로펜타실록세인,알코올,피이지-9폴리다이메틸실록시에틸다이메티콘,에틸헥실메톡시신나메이트,페닐트라이메티콘,티타늄디옥사이드,아크릴레이트/다이메티콘코폴리머,프로필렌글라이콜다이카프릴레이트/다이카프레이트,실리카,다이스테아다이모늄헥토라이트,솔비탄세스퀴올리에이트,마이카,소듐미리스토일글루타메이트,알루미늄하이드록사이드,다이메티콘,페녹시에탄올,스테아릭애씨드,향료,합성플루오르플로고파이트,프로필렌카보네이트,몰약추출물,부틸페닐메틸프로피오날,리날룰,시트로넬올,비에이치티,알파-아이소메틸아이오논,카프릴릴글라이콜,벤질벤조에이트,라우로일라이신,제라니올,리모넨,시트랄,아세틸헥사펩타이드-8,적색산화철,황색산화철,흑색산화철,티타늄디옥사이드"
13,스튜디오 퍼펙트 SPF15 PA+ 파운데이션 포티파이드 모이스처-퓨전 콤플렉스,맥,"폴리메틸메타크릴레이트,티타늄디옥사이드,에틸헥실메톡시신나메이트,탤크,다이메티콘,실리카,라우로일라이신,다이페닐실록시페닐트라이메티콘,토코페롤,소듐하이알루로네이트,하이드롤라이즈드콩단백질,C9-15플루오로알코올포스페이트,다이메티콘/비닐다이메티콘크로스폴리머,다이소듐스테아로일글루타메이트,글리세린,아이소스테아릴세바케이트,메티콘,피토스테릴/옥틸도데실라우로일글루타메이트,소듐피씨에이,소듐스테아로일글루타메이트,스테아릴글리시레티네이트,정제수,알루미나,알루미늄다이스테아레이트,하이드로젠다이메티콘,트라이에톡시카프릴릴실레인,알루미늄하이드록사이드,하이드록시아파타이트,합성플루오르플로고파이트,메틸메타크릴레이트크로스폴리머,폴리쿼터늄-61,트라이메틸실록시실리케이트,폴리메틸실세스퀴옥세인,보론나이트라이드,부틸렌글라이콜,폴리글루타믹애씨드,페녹시에탄올,포타슘솔베이트,마이카,적색산화철,황색산화철,흑색산화철,징크옥사이드,비스머스옥시클로라이드"
14,블랑 드펄 에센스 인퓨즈드 브라이트닝파운데이션 SPF25 PA+++,겔랑,"정제수,메틸트라이메티콘,티타늄디옥사이드,알코올,아이소도데케인,페닐트라이메티콘,에틸헥실메톡시신나메이트,글리세린,다이메티콘,세틸피이지/피피지-10/1다이메티콘,폴리메틸실세스퀴옥세인,아크릴레이트/다이메티콘코폴리머,황색산화철,펜타에리스리틸테트라에틸헥사노에이트,알루미늄하이드록사이드,마이카,라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,스테아릭애씨드,소듐미리스토일글루타메이트,페녹시에탄올,향료,다이스테아다이모늄헥토라이트,적색산화철,피이지-10다이메티콘,브이피/브이에이코폴리머,소듐클로라이드,글리세릴운데실다이메티콘,부틸렌글라이콜,흑색산화철,소듐시트레이트,실리카실릴레이트,실리카,펜틸렌글라이콜,커먼자스민꽃추출물,프로필렌카보네이트,비에이치티,소엽맥문동뿌리추출물,다이아몬드가루,하이드롤라이즈드서양자두,효모추출물,쉐어버터씨드케이크추출물,하이드롤라이즈드콘키올린프로테인,고삼추출물,에틸헥실글리세린,토코페롤,벤질살리실레이트,제라니올,하이드록시시트로넬알"
15,유스 에프엑스 필 블러 파운데이션 SPF20,레브론,"다이메티콘,사이클로펜타실록세인,정제수,피이지/피피지-19/19다이메티콘,C13-16아이소파라핀,티타늄디옥사이드,트라이메틸실록시실리케이트,아이소헥사데칸,징크옥사이드,다이메티콘크로스폴리머,스테아릴헵타노에이트,보론나이트라이드,트라이베헤닌,스테아릴카프릴레이트,C10-13아이소파라핀,글리세린,트라이실록세인,알루미나,페녹시에탄올,트라이에톡시카프릴릴실레인,12헥산다이올,카프릴릴글라이콜,폴리메틸실세스퀴옥세인,소듐클로라이드,다이메티콘/비닐다이메티콘크로스폴리머,에이치디아이/트라이메틸올헥실락톤크로스폴리머,솔비탄세스퀴올리에이트,메티콘,토코페롤,나이아신아마이드,소듐아스코빌포스페이트,토코페릴아세테이트,테트라소듐이디티에이,소듐카라기난,사카라이드아이소머레이트,씨솔트,마이카,황색산화철,흑색산화철,적색산화철"
16,울트라 HD 스틱 파운데이션,메이크업포에버,"에틸헥실팔미테이트,티타늄디옥사이드,합성플루오르플로고파이트,다이펜타에리스리틸헥사하이드록시스테아레이트/헥사스테아레이트/헥사로지네이트,합성왁스,폴리글리세릴-2트라이아이소스테아레이트,하이드로제네이티드폴리아이소부텐,솔비탄세스퀴아이소스테아레이트,다이메티콘,카나우바왁스,비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,알루미늄하이드록사이드,메티콘,토코페롤,향료,프로판다이올,정제수,수크로오스팔미테이트,오수유추출물,토코페릴아세테이트,글리세릴리놀리에이트,벤질알코올,시트릭애씨드,포타슘솔베이트,틴옥사이드,비에이치티,소듐하이알루로네이트,벤질벤조에이트,적색산화철,황색산화철,흑색산화철"
17,래스팅 실크 UV파운데이션 SPF20,조르지오 아르마니,"정제수,사이클로펜타실록세인,변성알코올,부틸렌글라이콜,에틸헥실메톡시신나메이트,페닐트라이메티콘,피이지-10다이메티콘,스쿠알란,비스-피이지/피피지-14/14다이메티콘,마그네슘설페이트,나일론-12,탤크,말티톨,다이소듐스테아로일글루타메이트,향료,알루미늄하이드록사이드,벤질살리실레이트,헥실신나몰,소르비톨,리모넨,리날룰,부틸페닐메틸프로피오날,벤질알코올,티타늄디옥사이드,적색산화철,황색산화철,흑색산화철"
18,란제리 드 뽀 파운데이션 SPF20,겔랑,"정제수,메틸트라이메티콘,티타늄디옥사이드,다이메티콘,알코올,피이지-9폴리다이메틸실록시에틸다이메티콘,펜틸렌글라이콜,에틸헥실메톡시신나메이트,마이카,페닐트라이메티콘,실리카,아크릴레이트/다이메티콘코폴리머,아크릴레이트코폴리머,알루미늄하이드록사이드,부틸렌글라이콜다이카프릴레이트/다이카프레이트,황색산화철,스테아릭애씨드,솔비탄세스퀴올리에이트,페녹시에탄올,알루미나,소듐미리스토일글루타메이트,적색산화철,하이드록시에틸셀룰로오스,레시틴,테트라소듐이디티에이,향료,흑색산화철,세레신,비에이치티,하이드롤라이즈드린씨드추출물,시트릭애씨드,포타슘솔베이트,부틸페닐메틸프로피오날,리날룰,시트로넬올,알파-아이소메틸아이오논"
19,디자이너 쉐이핑 크림 파운데이션 SPF20,조르지오 아르마니,"정제수,글리세린,다이메티콘,사이클로펜타실록세인,에틸헥실메톡시신나메이트,폴리글리세릴-4아이소스테아레이트,프로필렌글라이콜,나일론-12,피이지-8,헥실라우레이트,세틸피이지/피피지-10/1다이메티콘,피이지-20,펜틸렌글라이콜,마그네슘설페이트,페녹시에탄올,다이메티콘올,셀룰로오스검,메틸파라벤,다이소듐스테아로일글루타메이트,향료,판테놀,부틸파라벤,나일론-66,토코페롤,알루미늄하이드록사이드,하이드록시팔미토일스핑가닌,마그네슘아스코빌포스페이트,벤질살리실레이트,헥실신나몰,리모넨,리날룰,부틸페닐메틸프로피오날,벤질알코올,티타늄디옥사이드,적색산화철,황색산화철,흑색산화철,마이카"
20,듀얼 커버 쿠션 SPF50+ PA++++,이자녹스,"정제수,사이클로펜타실록세인,메틸트라이메티콘,티타늄디옥사이드,트라이에틸헥사노인,피이지-10다이메티콘,마이카,페닐벤즈이미다졸설포닉애씨드,나이아신아마이드,다이프로필렌글라이콜,트로메타민,다이메티콘크로스폴리머,12헥산다이올,피이지-9폴리다이메틸실록시에틸다이메티콘,솔비탄세스퀴올리에이트,다이스테아다이모늄헥토라이트,소듐클로라이드,솔비탄세스퀴아이소스테아레이트,징크스테아레이트,알루미늄하이드록사이드,트라이에톡시카프릴릴실레인,다이스테아릴다이모늄클로라이드,스테아릭애씨드,토코페릴아세테이트,팔미토일프롤린,트라이에톡시실릴에틸폴리다이메틸실록시에틸헥실다이메티콘,마그네슘팔미토일글루타메이트,소듐팔미토일사코시네이트,아데노신,팔미틱애씨드,바이오사카라이드검-1,부틸렌글라이콜,금,사파이어가루,세드롤,에틸헥실글리세린,진주가루,해바라기씨오일,당근추출물,당근씨오일,베타-카로틴,아스코빌팔미테이트,탤크,보론나이트라이드,글리세린,셀룰로오스아세테이트부티레이트,다이메티콘,레티놀,폴리쿼터늄-51,카보머,루비가루,카프릴릴글라이콜,폴리솔베이트20,페녹시에탄올,콜레스테릴헥실다이카바메이트풀루란,아세틸헥사펩타이드-8,다이아몬드가루,카퍼트라이펩타이드-1,팔미토일트라이펩타이드-1,팔미토일테트라펩타이드-7,라벤더꽃추출물,바실꽃/잎추출물,마시멜로뿌리추출물,약모밀추출물,캐모마일꽃추출물,로즈마리잎추출물,회향추출물,사과수,세라마이드엔지,세라마이드엔피,세테아릴알코올,콜레스테롤,토코페릴아세테이트,포타슘C12-13알킬포스페이트,피토스핑고신,하이드로제네이티드레시틴,하이드로제네이티드폴리데센,향료,황색산화철,흑색산화철,적색산화철"
